contract,MP,GM1,GM2,GM1%,GM2%,SPC_A,SPC_B,SPC_C,SPC_D,
NCL2015-0075,5420230.77,272105.04,272105.04,0.0502,0.0502,25849.98,27210.50,24489.45,27210.50,
NCL2015-0075,5426058.98,277933.25,277933.25,0.0512,0.0512,26403.66,27793.32,25013.99,27793.32,
NCL2015-0075,5431887.18,283761.45,283761.45,0.0522,0.0522,26957.34,28376.15,25538.53,28376.15,
NCL2015-0075,5437715.39,289589.66,289589.66,0.0533,0.0533,27511.02,28958.97,26063.07,28958.97,
NCL2015-0075,5443543.59,295417.86,295417.86,0.0543,0.0543,28064.70,29541.79,26587.61,29541.79,
NCL2015-0075,5449371.80,301246.07,301246.07,0.0553,0.0553,28618.38,30124.61,27112.15,30124.61,
NCL2015-0075,5455200.00,307074.27,307074.27,0.0563,0.0563,29172.06,30707.43,27636.68,30707.43,
NCL2015-0075,5461028.21,312902.48,312902.48,0.0573,0.0573,29725.74,31290.25,28161.22,31290.25,
NCL2015-0075,5466856.41,318730.68,318730.68,0.0583,0.0583,30279.41,31873.07,28685.76,31873.07,
NCL2015-0075,5472684.62,324558.89,324558.89,0.0593,0.0593,30833.09,32455.89,29210.30,32455.89,
NCL2015-0075,5478512.82,330387.09,330387.09,0.0603,0.0603,31386.77,33038.71,29734.84,33038.71,
NCL2015-0075,5484341.03,336215.30,336215.30,0.0613,0.0613,31940.45,33621.53,30259.38,33621.53,
NCL2015-0075,5490169.23,342043.50,342043.50,0.0623,0.0623,32494.13,34204.35,30783.92,34204.35,
NCL2015-0075,5495997.44,347871.71,347871.71,0.0633,0.0633,33047.81,34787.17,31308.45,34787.17,
NCL2015-0075,5501825.64,353699.91,353699.91,0.0643,0.0643,33601.49,35369.99,31832.99,35369.99,
NCL2015-0075,5507653.85,359528.12,359528.12,0.0653,0.0653,34155.17,35952.81,32357.53,35952.81,
NCL2015-0075,5513482.05,365356.32,365356.32,0.0663,0.0663,34708.85,36535.63,32882.07,36535.63,
NCL2015-0075,5519310.26,371184.53,371184.53,0.0673,0.0673,35262.53,37118.45,33406.61,37118.45,
NCL2015-0075,5525138.46,377012.73,377012.73,0.0682,0.0682,35816.21,37701.27,33931.15,37701.27,
NCL2015-0075,5530966.67,382840.94,382840.94,0.0692,0.0692,36369.89,38284.09,34455.68,38284.09,
NCL2015-0075,5536794.87,388669.14,388669.14,0.0702,0.0702,36923.57,38866.91,34980.22,38866.91,
NCL2015-0075,5542623.08,394497.35,394497.35,0.0712,0.0712,37477.25,39449.73,35504.76,39449.73,
NCL2015-0075,5548451.28,400325.55,400325.55,0.0722,0.0722,38030.93,40032.56,36029.30,40032.56,
NCL2015-0075,5554279.49,406153.76,406153.76,0.0731,0.0731,38584.61,40615.38,36553.84,40615.38,
NCL2015-0075,5560107.69,411981.96,411981.96,0.0741,0.0741,39138.29,41198.20,37078.38,41198.20,
NCL2015-0075,5565935.90,417810.17,417810.17,0.0751,0.0751,39691.97,41781.02,37602.92,41781.02,
NCL2015-0075,5571764.10,423638.37,423638.37,0.0760,0.0760,40245.65,42363.84,38127.45,42363.84,
NCL2015-0075,5577592.31,429466.58,429466.58,0.0770,0.0770,40799.33,42946.66,38651.99,42946.66,
NCL2015-0075,5583420.51,435294.78,435294.78,0.0780,0.0780,41353.00,43529.48,39176.53,43529.48,
NCL2015-0075,5589248.72,441122.99,441122.99,0.0789,0.0789,41906.68,44112.30,39701.07,44112.30,
NCL2015-0075,5595076.92,446951.19,446951.19,0.0799,0.0799,42460.36,44695.12,40225.61,44695.12,
NCL2015-0075,5600905.13,452779.40,452779.40,0.0808,0.0808,49805.73,52069.63,47541.84,52069.63,
NCL2015-0075,5606733.34,458607.61,458607.61,0.0818,0.0818,50446.84,52739.87,48153.80,52739.87,
NCL2015-0075,5612561.54,464435.81,464435.81,0.0827,0.0827,51087.94,53410.12,48765.76,53410.12,
NCL2015-0075,5618389.75,470264.02,470264.02,0.0837,0.0837,51729.04,54080.36,49377.72,54080.36,
NCL2015-0075,5624217.95,476092.22,476092.22,0.0847,0.0847,52370.14,54750.61,49989.68,54750.61,
NCL2015-0075,5630046.16,481920.43,481920.43,0.0856,0.0856,53011.25,55420.85,50601.64,55420.85,
NCL2015-0075,5635874.36,487748.63,487748.63,0.0865,0.0865,53652.35,56091.09,51213.61,56091.09,
NCL2015-0075,5641702.57,493576.84,493576.84,0.0875,0.0875,54293.45,56761.34,51825.57,56761.34,
NCL2015-0075,5647530.77,499405.04,499405.04,0.0884,0.0884,54934.55,57431.58,52437.53,57431.58,
NCL2015-0075,5653358.98,505233.25,505233.25,0.0894,0.0894,55575.66,58101.82,53049.49,58101.82,
NCL2015-0075,5659187.18,511061.45,511061.45,0.0903,0.0903,56216.76,58772.07,53661.45,58772.07,
NCL2015-0075,5665015.39,516889.66,516889.66,0.0912,0.0912,56857.86,59442.31,54273.41,59442.31,
NCL2015-0075,5670843.59,522717.86,522717.86,0.0922,0.0922,57498.96,60112.55,54885.38,60112.55,
NCL2015-0075,5676671.80,528546.07,528546.07,0.0931,0.0931,58140.07,60782.80,55497.34,60782.80,
NCL2015-0075,5682500.00,534374.27,534374.27,0.0940,0.0940,58781.17,61453.04,56109.30,61453.04,
NCL2015-0075,5688328.21,540202.48,540202.48,0.0950,0.0950,59422.27,62123.28,56721.26,62123.28,
NCL2015-0075,5694156.41,546030.68,546030.68,0.0959,0.0959,60063.38,62793.53,57333.22,62793.53,
NCL2015-0075,5699984.62,551858.89,551858.89,0.0968,0.0968,60704.48,63463.77,57945.18,63463.77,
NCL2015-0075,5705812.82,557687.09,557687.09,0.0977,0.0977,61345.58,64134.02,58557.14,64134.02,
NCL2015-0075,5711641.03,563515.30,563515.30,0.0987,0.0987,61986.68,64804.26,59169.11,64804.26,
NCL2015-0075,5717469.23,569343.50,569343.50,0.0996,0.0996,62627.79,65474.50,59781.07,65474.50,
NCL2015-0075,5723297.44,575171.71,575171.71,0.1005,0.1005,74772.32,80524.04,69020.60,74772.32,
NCL2015-0075,5729125.64,580999.91,580999.91,0.1014,0.1014,75529.99,81339.99,69719.99,75529.99,
NCL2015-0075,5734953.85,586828.12,586828.12,0.1023,0.1023,76287.66,82155.94,70419.37,76287.66,
NCL2015-0075,5740782.05,592656.32,592656.32,0.1032,0.1032,77045.32,82971.89,71118.76,77045.32,
NCL2015-0075,5746610.26,598484.53,598484.53,0.1041,0.1041,77802.99,83787.83,71818.14,77802.99,
NCL2015-0075,5752438.46,604312.73,604312.73,0.1051,0.1051,78560.66,84603.78,72517.53,78560.66,
NCL2015-0075,5758266.67,610140.94,610140.94,0.1060,0.1060,79318.32,85419.73,73216.91,79318.32,
NCL2015-0075,5764094.87,615969.14,615969.14,0.1069,0.1069,80075.99,86235.68,73916.30,80075.99,
NCL2015-0075,5769923.08,621797.35,621797.35,0.1078,0.1078,80833.66,87051.63,74615.68,80833.66,
NCL2015-0075,5775751.28,627625.55,627625.55,0.1087,0.1087,81591.32,87867.58,75315.07,81591.32,
NCL2015-0075,5781579.49,633453.76,633453.76,0.1096,0.1096,82348.99,88683.53,76014.45,82348.99,
NCL2015-0075,5787407.69,639281.96,639281.96,0.1105,0.1105,83106.66,89499.47,76713.84,83106.66,
NCL2015-0075,5793235.90,645110.17,645110.17,0.1114,0.1114,83864.32,90315.42,77413.22,83864.32,
NCL2015-0075,5799064.10,650938.37,650938.37,0.1122,0.1122,84621.99,91131.37,78112.60,84621.99,
NCL2015-0075,5804892.31,656766.58,656766.58,0.1131,0.1131,85379.66,91947.32,78811.99,85379.66,
NCL2015-0075,5810720.51,662594.78,662594.78,0.1140,0.1140,86137.32,92763.27,79511.37,86137.32,
NCL2015-0075,5816548.72,668422.99,668422.99,0.1149,0.1149,86894.99,93579.22,80210.76,86894.99,
NCL2015-0075,5822376.92,674251.19,674251.19,0.1158,0.1158,87652.66,94395.17,80910.14,87652.66,
NCL2015-0075,5828205.13,680079.40,680079.40,0.1167,0.1167,88410.32,95211.12,81609.53,88410.32,
NCL2015-0075,5834033.34,685907.61,685907.61,0.1176,0.1176,89167.99,96027.06,82308.91,89167.99,
NCL2015-0075,5839861.54,691735.81,691735.81,0.1185,0.1185,89925.66,96843.01,83008.30,89925.66,
NCL2015-0075,5845689.75,697564.02,697564.02,0.1193,0.1193,90683.32,97658.96,83707.68,90683.32,
NCL2015-0075,5851517.95,703392.22,703392.22,0.1202,0.1202,91440.99,98474.91,84407.07,91440.99,
NCL2015-0075,5857346.16,709220.43,709220.43,0.1211,0.1211,92198.66,99290.86,85106.45,92198.66,
NCL2015-0075,5863174.36,715048.63,715048.63,0.1220,0.1220,92956.32,100106.81,85805.84,92956.32,
NCL2015-0075,5869002.57,720876.84,720876.84,0.1228,0.1228,93713.99,100922.76,86505.22,93713.99,
NCL2015-0075,5874830.77,726705.04,726705.04,0.1237,0.1237,94471.66,101738.71,87204.60,94471.66,
NCL2015-0075,5880658.98,732533.25,732533.25,0.1246,0.1246,95229.32,102554.65,87903.99,95229.32,
NCL2015-0075,5886487.18,738361.45,738361.45,0.1254,0.1254,95986.99,103370.60,88603.37,95986.99,
NCL2015-0075,5892315.39,744189.66,744189.66,0.1263,0.1263,96744.66,104186.55,89302.76,96744.66,
NCL2015-0075,5898143.59,750017.86,750017.86,0.1272,0.1272,97502.32,105002.50,90002.14,97502.32,
NCL2015-0075,5903971.80,755846.07,755846.07,0.1280,0.1280,98259.99,105818.45,90701.53,98259.99,
NCL2015-0075,5909800.00,761674.27,761674.27,0.1289,0.1289,99017.66,106634.40,91400.91,99017.66,
NCL2015-0075,5915628.21,767502.48,767502.48,0.1297,0.1297,99775.32,107450.35,92100.30,99775.32,
NCL2015-0075,5921456.41,773330.68,773330.68,0.1306,0.1306,100532.99,108266.30,92799.68,100532.99,
NCL2015-0075,5927284.62,779158.89,779158.89,0.1315,0.1315,101290.66,109082.24,93499.07,101290.66,
NCL2015-0075,5933112.82,784987.09,784987.09,0.1323,0.1323,102048.32,109898.19,94198.45,102048.32,
NCL2015-0075,5938941.03,790815.30,790815.30,0.1332,0.1332,102805.99,110714.14,94897.84,102805.99,
NCL2015-0075,5944769.23,796643.50,796643.50,0.1340,0.1340,103563.66,111530.09,95597.22,103563.66,
NCL2015-0075,5950597.44,802471.71,802471.71,0.1349,0.1349,104321.32,112346.04,96296.60,104321.32,
NCL2015-0075,5956425.64,808299.91,808299.91,0.1357,0.1357,105078.99,113161.99,96995.99,105078.99,
NCL2015-0075,5962253.85,814128.12,814128.12,0.1365,0.1365,105836.66,113977.94,97695.37,105836.66,
NCL2015-0075,5968082.05,819956.32,819956.32,0.1374,0.1374,106594.32,114793.89,98394.76,106594.32,
NCL2015-0075,5973910.26,825784.53,825784.53,0.1382,0.1382,107351.99,115609.83,99094.14,107351.99,
NCL2015-0075,5979738.46,831612.73,831612.73,0.1391,0.1391,108109.66,116425.78,99793.53,108109.66,
NCL2015-0075,5985566.67,837440.94,837440.94,0.1399,0.1399,108867.32,117241.73,100492.91,108867.32,
NCL2015-0075,5991394.87,843269.14,843269.14,0.1407,0.1407,109624.99,118057.68,101192.30,109624.99,
NCL2015-0075,5997223.08,849097.35,849097.35,0.1416,0.1416,110382.66,118873.63,101891.68,110382.66,
NCL2015-0075,6003051.28,854925.55,854925.55,0.1424,0.1424,111140.32,119689.58,102591.07,111140.32,
NCL2015-0075,6008879.49,860753.76,860753.76,0.1432,0.1432,111897.99,120505.53,103290.45,111897.99,
NCL2015-0075,6014707.69,866581.96,866581.96,0.1441,0.1441,112655.66,121321.47,103989.84,112655.66,
NCL2015-0075,6020535.90,872410.17,872410.17,0.1449,0.1449,113413.32,122137.42,104689.22,113413.32,
NCL2015-0075,6026364.10,878238.37,878238.37,0.1457,0.1457,114170.99,122953.37,105388.60,114170.99,
NCL2015-0075,6032192.31,884066.58,884066.58,0.1466,0.1466,114928.66,123769.32,106087.99,114928.66,
NCL2015-0075,6038020.51,889894.78,889894.78,0.1474,0.1474,115686.32,124585.27,106787.37,115686.32,
NCL2015-0075,6043848.72,895722.99,895722.99,0.1482,0.1482,116443.99,125401.22,107486.76,116443.99,
NCL2015-0075,6049676.92,901551.19,901551.19,0.1490,0.1490,117201.66,126217.17,108186.14,117201.66,
NCL2015-0075,6055505.13,907379.40,907379.40,0.1498,0.1498,117959.32,127033.12,108885.53,117959.32,
NCL2015-0075,6061333.34,913207.61,913207.61,0.1507,0.1507,136981.14,150679.25,136981.14,136981.14,
NCL2015-0075,6067161.54,919035.81,919035.81,0.1515,0.1515,137855.37,151640.91,137855.37,137855.37,
NCL2015-0075,6072989.75,924864.02,924864.02,0.1523,0.1523,138729.60,152602.56,138729.60,138729.60,
NCL2015-0075,6078817.95,930692.22,930692.22,0.1531,0.1531,139603.83,153564.22,139603.83,139603.83,
NCL2015-0075,6084646.16,936520.43,936520.43,0.1539,0.1539,140478.06,154525.87,140478.06,140478.06,
NCL2015-0075,6090474.36,942348.63,942348.63,0.1547,0.1547,141352.29,155487.52,141352.29,141352.29,
NCL2015-0075,6096302.57,948176.84,948176.84,0.1555,0.1555,142226.53,156449.18,142226.53,142226.53,
NCL2015-0075,6102130.77,954005.04,954005.04,0.1563,0.1563,143100.76,157410.83,143100.76,143100.76,
NCL2015-0075,6107958.98,959833.25,959833.25,0.1571,0.1571,143974.99,158372.49,143974.99,143974.99,
NCL2015-0075,6113787.18,965661.45,965661.45,0.1579,0.1579,144849.22,159334.14,144849.22,144849.22,
NCL2015-0075,6119615.39,971489.66,971489.66,0.1588,0.1588,145723.45,160295.79,145723.45,145723.45,
NCL2015-0075,6125443.59,977317.86,977317.86,0.1596,0.1596,146597.68,161257.45,146597.68,146597.68,
NCL2015-0075,6131271.80,983146.07,983146.07,0.1603,0.1603,147471.91,162219.10,147471.91,147471.91,
NCL2015-0075,6137100.00,988974.27,988974.27,0.1611,0.1611,148346.14,163180.75,148346.14,148346.14,
NCL2015-0075,6142928.21,994802.48,994802.48,0.1619,0.1619,149220.37,164142.41,149220.37,149220.37,
NCL2015-0075,6148756.41,1000630.68,1000630.68,0.1627,0.1627,150094.60,165104.06,150094.60,150094.60,
NCL2015-0075,6154584.62,1006458.89,1006458.89,0.1635,0.1635,150968.83,166065.72,150968.83,150968.83,
NCL2015-0075,6160412.82,1012287.09,1012287.09,0.1643,0.1643,151843.06,167027.37,151843.06,151843.06,
NCL2015-0075,6166241.03,1018115.30,1018115.30,0.1651,0.1651,152717.29,167989.02,152717.29,152717.29,
NCL2015-0075,6172069.23,1023943.50,1023943.50,0.1659,0.1659,153591.53,168950.68,153591.53,153591.53,
NCL2015-0075,6177897.44,1029771.71,1029771.71,0.1667,0.1667,154465.76,169912.33,154465.76,154465.76,
NCL2015-0075,6183725.64,1035599.91,1035599.91,0.1675,0.1675,155339.99,170873.99,155339.99,155339.99,
NCL2015-0075,6189553.85,1041428.12,1041428.12,0.1683,0.1683,156214.22,171835.64,156214.22,156214.22,
NCL2015-0075,6195382.05,1047256.32,1047256.32,0.1690,0.1690,157088.45,172797.29,157088.45,157088.45,
NCL2015-0075,6201210.26,1053084.53,1053084.53,0.1698,0.1698,157962.68,173758.95,157962.68,157962.68,
NCL2015-0075,6207038.46,1058912.73,1058912.73,0.1706,0.1706,158836.91,174720.60,158836.91,158836.91,
NCL2015-0075,6212866.67,1064740.94,1064740.94,0.1714,0.1714,159711.14,175682.25,159711.14,159711.14,
NCL2015-0075,6218694.87,1070569.14,1070569.14,0.1722,0.1722,160585.37,176643.91,160585.37,160585.37,
NCL2015-0075,6224523.08,1076397.35,1076397.35,0.1729,0.1729,161459.60,177605.56,161459.60,161459.60,
NCL2015-0075,6230351.28,1082225.55,1082225.55,0.1737,0.1737,162333.83,178567.22,162333.83,162333.83,
NCL2015-0075,6236179.49,1088053.76,1088053.76,0.1745,0.1745,163208.06,179528.87,163208.06,163208.06,
NCL2015-0075,6242007.69,1093881.96,1093881.96,0.1752,0.1752,164082.29,180490.52,164082.29,164082.29,
NCL2015-0075,6247835.90,1099710.17,1099710.17,0.1760,0.1760,164956.53,181452.18,164956.53,164956.53,
NCL2015-0075,6253664.10,1105538.37,1105538.37,0.1768,0.1768,165830.76,182413.83,165830.76,165830.76,
NCL2015-0075,6259492.31,1111366.58,1111366.58,0.1775,0.1775,166704.99,183375.49,166704.99,166704.99,
NCL2015-0075,6265320.51,1117194.78,1117194.78,0.1783,0.1783,167579.22,184337.14,167579.22,167579.22,
NCL2015-0075,6271148.72,1123022.99,1123022.99,0.1791,0.1791,168453.45,185298.79,168453.45,168453.45,
NCL2015-0075,6276976.93,1128851.20,1128851.20,0.1798,0.1798,169327.68,186260.45,169327.68,169327.68,
NCL2015-0075,6282805.13,1134679.40,1134679.40,0.1806,0.1806,170201.91,187222.10,170201.91,170201.91,
NCL2015-0075,6288633.34,1140507.61,1140507.61,0.1814,0.1814,171076.14,188183.75,171076.14,171076.14,
NCL2015-0075,6294461.54,1146335.81,1146335.81,0.1821,0.1821,171950.37,189145.41,171950.37,171950.37,
NCL2015-0075,6300289.75,1152164.02,1152164.02,0.1829,0.1829,172824.60,190107.06,172824.60,172824.60,
NCL2015-0075,6306117.95,1157992.22,1157992.22,0.1836,0.1836,173698.83,191068.72,173698.83,173698.83,
NCL2015-0075,6311946.16,1163820.43,1163820.43,0.1844,0.1844,174573.06,192030.37,174573.06,174573.06,
NCL2015-0075,6317774.36,1169648.63,1169648.63,0.1851,0.1851,175447.29,192992.02,175447.29,175447.29,
NCL2015-0075,6323602.57,1175476.84,1175476.84,0.1859,0.1859,176321.53,193953.68,176321.53,176321.53,
NCL2015-0075,6329430.77,1181305.04,1181305.04,0.1866,0.1866,177195.76,194915.33,177195.76,177195.76,
NCL2015-0075,6335258.98,1187133.25,1187133.25,0.1874,0.1874,178069.99,195876.99,178069.99,178069.99,
NCL2015-0075,6341087.18,1192961.45,1192961.45,0.1881,0.1881,178944.22,196838.64,178944.22,178944.22,
NCL2015-0075,6346915.39,1198789.66,1198789.66,0.1889,0.1889,179818.45,197800.29,179818.45,179818.45,
NCL2015-0075,6352743.59,1204617.86,1204617.86,0.1896,0.1896,180692.68,198761.95,180692.68,180692.68,
NCL2015-0075,6358571.80,1210446.07,1210446.07,0.1904,0.1904,181566.91,199723.60,181566.91,181566.91,
NCL2015-0075,6364400.00,1216274.27,1216274.27,0.1911,0.1911,182441.14,200685.25,182441.14,182441.14,
NCL2015-0075,6370228.21,1222102.48,1222102.48,0.1918,0.1918,183315.37,201646.91,183315.37,183315.37,
NCL2015-0075,6376056.41,1227930.68,1227930.68,0.1926,0.1926,184189.60,202608.56,184189.60,184189.60,
NCL2015-0075,6381884.62,1233758.89,1233758.89,0.1933,0.1933,185063.83,203570.22,185063.83,185063.83,
NCL2015-0075,6387712.82,1239587.09,1239587.09,0.1941,0.1941,185938.06,204531.87,185938.06,185938.06,
NCL2015-0075,6393541.03,1245415.30,1245415.30,0.1948,0.1948,186812.29,205493.52,186812.29,186812.29,
NCL2015-0075,6399369.23,1251243.50,1251243.50,0.1955,0.1955,187686.53,206455.18,187686.53,187686.53,
NCL2015-0075,6405197.44,1257071.71,1257071.71,0.1963,0.1963,188560.76,207416.83,188560.76,188560.76,
NCL2015-0075,6411025.64,1262899.91,1262899.91,0.1970,0.1970,189434.99,208378.49,189434.99,189434.99,
NCL2015-0075,6416853.85,1268728.12,1268728.12,0.1977,0.1977,190309.22,209340.14,190309.22,190309.22,
NCL2015-0075,6422682.05,1274556.32,1274556.32,0.1984,0.1984,191183.45,210301.79,191183.45,191183.45,
NCL2015-0075,6428510.26,1280384.53,1280384.53,0.1992,0.1992,192057.68,211263.45,192057.68,192057.68,
NCL2015-0075,6434338.46,1286212.73,1286212.73,0.1999,0.1999,192931.91,212225.10,192931.91,192931.91,
NCL2015-0075,6440166.67,1292040.94,1292040.94,0.2006,0.2006,258408.19,258408.19,258408.19,258408.19,
NCL2015-0075,6445994.87,1297869.14,1297869.14,0.2013,0.2013,259573.83,259573.83,259573.83,259573.83,
NCL2015-0075,6451823.08,1303697.35,1303697.35,0.2021,0.2021,260739.47,260739.47,260739.47,260739.47,
NCL2015-0075,6457651.28,1309525.55,1309525.55,0.2028,0.2028,261905.11,261905.11,261905.11,261905.11,
NCL2015-0075,6463479.49,1315353.76,1315353.76,0.2035,0.2035,263070.75,263070.75,263070.75,263070.75,
NCL2015-0075,6469307.69,1321181.96,1321181.96,0.2042,0.2042,264236.39,264236.39,264236.39,264236.39,
NCL2015-0075,6475135.90,1327010.17,1327010.17,0.2049,0.2049,265402.03,265402.03,265402.03,265402.03,
NCL2015-0075,6480964.10,1332838.37,1332838.37,0.2057,0.2057,266567.67,266567.67,266567.67,266567.67,
NCL2015-0075,6486792.31,1338666.58,1338666.58,0.2064,0.2064,267733.32,267733.32,267733.32,267733.32,
NCL2015-0075,6492620.51,1344494.78,1344494.78,0.2071,0.2071,268898.96,268898.96,268898.96,268898.96,
NCL2015-0075,6498448.72,1350322.99,1350322.99,0.2078,0.2078,270064.60,270064.60,270064.60,270064.60,
NCL2015-0075,6504276.93,1356151.20,1356151.20,0.2085,0.2085,271230.24,271230.24,271230.24,271230.24,
NCL2015-0075,6510105.13,1361979.40,1361979.40,0.2092,0.2092,272395.88,272395.88,272395.88,272395.88,
NCL2015-0075,6515933.34,1367807.61,1367807.61,0.2099,0.2099,273561.52,273561.52,273561.52,273561.52,
NCL2015-0075,6521761.54,1373635.81,1373635.81,0.2106,0.2106,274727.16,274727.16,274727.16,274727.16,
NCL2015-0075,6527589.75,1379464.02,1379464.02,0.2113,0.2113,275892.80,275892.80,275892.80,275892.80,
NCL2015-0075,6533417.95,1385292.22,1385292.22,0.2120,0.2120,277058.44,277058.44,277058.44,277058.44,
NCL2015-0075,6539246.16,1391120.43,1391120.43,0.2127,0.2127,278224.09,278224.09,278224.09,278224.09,
NCL2015-0075,6545074.36,1396948.63,1396948.63,0.2134,0.2134,279389.73,279389.73,279389.73,279389.73,
NCL2015-0075,6550902.57,1402776.84,1402776.84,0.2141,0.2141,280555.37,280555.37,280555.37,280555.37,
NCL2015-0075,6556730.77,1408605.04,1408605.04,0.2148,0.2148,281721.01,281721.01,281721.01,281721.01,
NCL2015-0075,6562558.98,1414433.25,1414433.25,0.2155,0.2155,282886.65,282886.65,282886.65,282886.65,
NCL2015-0075,6568387.18,1420261.45,1420261.45,0.2162,0.2162,284052.29,284052.29,284052.29,284052.29,
NCL2015-0075,6574215.39,1426089.66,1426089.66,0.2169,0.2169,285217.93,285217.93,285217.93,285217.93,
NCL2015-0075,6580043.59,1431917.86,1431917.86,0.2176,0.2176,286383.57,286383.57,286383.57,286383.57,
NCL2015-0075,6585871.80,1437746.07,1437746.07,0.2183,0.2183,287549.21,287549.21,287549.21,287549.21,
NCL2015-0075,6591700.00,1443574.27,1443574.27,0.2190,0.2190,288714.85,288714.85,288714.85,288714.85,
NCL2015-0075,6597528.21,1449402.48,1449402.48,0.2197,0.2197,289880.50,289880.50,289880.50,289880.50,
NCL2015-0075,6603356.41,1455230.68,1455230.68,0.2204,0.2204,291046.14,291046.14,291046.14,291046.14,
NCL2015-0075,6609184.62,1461058.89,1461058.89,0.2211,0.2211,292211.78,292211.78,292211.78,292211.78,
NCL2015-0075,6615012.82,1466887.09,1466887.09,0.2218,0.2218,293377.42,293377.42,293377.42,293377.42,
NCL2015-0075,6620841.03,1472715.30,1472715.30,0.2224,0.2224,294543.06,294543.06,294543.06,294543.06,
NCL2015-0075,6626669.23,1478543.50,1478543.50,0.2231,0.2231,295708.70,295708.70,295708.70,295708.70,
NCL2015-0075,6632497.44,1484371.71,1484371.71,0.2238,0.2238,296874.34,296874.34,296874.34,296874.34,
NCL2015-0075,6638325.64,1490199.91,1490199.91,0.2245,0.2245,298039.98,298039.98,298039.98,298039.98,
NCL2015-0075,6644153.85,1496028.12,1496028.12,0.2252,0.2252,299205.62,299205.62,299205.62,299205.62,
NCL2015-0075,6649982.05,1501856.32,1501856.32,0.2258,0.2258,300371.26,300371.26,300371.26,300371.26,
NCL2015-0075,6655810.26,1507684.53,1507684.53,0.2265,0.2265,301536.91,301536.91,301536.91,301536.91,
NCL2015-0075,6661638.46,1513512.73,1513512.73,0.2272,0.2272,302702.55,302702.55,302702.55,302702.55,
NCL2015-0075,6667466.67,1519340.94,1519340.94,0.2279,0.2279,303868.19,303868.19,303868.19,303868.19,
NCL2015-0075,6673294.87,1525169.14,1525169.14,0.2285,0.2285,305033.83,305033.83,305033.83,305033.83,
NCL2015-0075,6679123.08,1530997.35,1530997.35,0.2292,0.2292,306199.47,306199.47,306199.47,306199.47,
NCL2015-0075,6684951.28,1536825.55,1536825.55,0.2299,0.2299,307365.11,307365.11,307365.11,307365.11,
NCL2015-0075,6690779.49,1542653.76,1542653.76,0.2306,0.2306,308530.75,308530.75,308530.75,308530.75,
NCL2015-0075,6696607.69,1548481.96,1548481.96,0.2312,0.2312,309696.39,309696.39,309696.39,309696.39,
NCL2015-0075,6702435.90,1554310.17,1554310.17,0.2319,0.2319,310862.03,310862.03,310862.03,310862.03,
NCL2015-0075,6708264.10,1560138.37,1560138.37,0.2326,0.2326,312027.67,312027.67,312027.67,312027.67,
NCL2015-0075,6714092.31,1565966.58,1565966.58,0.2332,0.2332,313193.32,313193.32,313193.32,313193.32,
NCL2015-0075,6719920.51,1571794.78,1571794.78,0.2339,0.2339,314358.96,314358.96,314358.96,314358.96,
NCL2015-0075,6725748.72,1577622.99,1577622.99,0.2346,0.2346,315524.60,315524.60,315524.60,315524.60,
NCL2015-0075,6731576.93,1583451.20,1583451.20,0.2352,0.2352,316690.24,316690.24,316690.24,316690.24,
NCL2015-0075,6737405.13,1589279.40,1589279.40,0.2359,0.2359,317855.88,317855.88,317855.88,317855.88,
NCL2015-0075,6743233.34,1595107.61,1595107.61,0.2365,0.2365,319021.52,319021.52,319021.52,319021.52,
NCL2015-0075,6749061.54,1600935.81,1600935.81,0.2372,0.2372,320187.16,320187.16,320187.16,320187.16,
NCL2015-0075,6754889.75,1606764.02,1606764.02,0.2379,0.2379,321352.80,321352.80,321352.80,321352.80,
NCL2015-0075,6760717.95,1612592.22,1612592.22,0.2385,0.2385,322518.44,322518.44,322518.44,322518.44,
NCL2015-0075,6766546.16,1618420.43,1618420.43,0.2392,0.2392,323684.09,323684.09,323684.09,323684.09,
NCL2015-0075,6772374.36,1624248.63,1624248.63,0.2398,0.2398,324849.73,324849.73,324849.73,324849.73,
NCL2015-0075,6778202.57,1630076.84,1630076.84,0.2405,0.2405,326015.37,326015.37,326015.37,326015.37,
NCL2015-0075,6784030.77,1635905.04,1635905.04,0.2411,0.2411,327181.01,327181.01,327181.01,327181.01,
NCL2015-0075,6789858.98,1641733.25,1641733.25,0.2418,0.2418,328346.65,328346.65,328346.65,328346.65,
NCL2015-0075,6795687.18,1647561.45,1647561.45,0.2424,0.2424,329512.29,329512.29,329512.29,329512.29,
NCL2015-0075,6801515.39,1653389.66,1653389.66,0.2431,0.2431,330677.93,330677.93,330677.93,330677.93,
NCL2015-0075,6807343.59,1659217.86,1659217.86,0.2437,0.2437,331843.57,331843.57,331843.57,331843.57,
NCL2015-0075,6813171.80,1665046.07,1665046.07,0.2444,0.2444,333009.21,333009.21,333009.21,333009.21,
NCL2015-0075,6819000.00,1670874.27,1670874.27,0.2450,0.2450,334174.85,334174.85,334174.85,334174.85,
NCL2015-0075,6824828.21,1676702.48,1676702.48,0.2457,0.2457,335340.50,335340.50,335340.50,335340.50,
NCL2015-0075,6830656.41,1682530.68,1682530.68,0.2463,0.2463,336506.14,336506.14,336506.14,336506.14,
NCL2015-0075,6836484.62,1688358.89,1688358.89,0.2470,0.2470,337671.78,337671.78,337671.78,337671.78,
